# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 7887 2 100 66309 18619186 1 build/SBLive/0160/3.wav
DUPTYPE_WITHIN_SAME_TREE -7887 2 100 66309 18748761 1 build/SBLive/0190/11.wav
DUPTYPE_WITHIN_SAME_TREE -7887 2 100 66309 18748758 1 build/SBLive/0190/8.wav
DUPTYPE_FIRST_OCCURRENCE 8810 2 106 66309 20973798 1 build/SBLive/1090/7.wav
DUPTYPE_WITHIN_SAME_TREE -8810 2 106 66309 20973800 1 build/SBLive/1090/9.wav
DUPTYPE_FIRST_OCCURRENCE 8322 2 108 66309 20847087 1 build/SBLive/0620/14.wav
DUPTYPE_WITHIN_SAME_TREE -8322 2 108 66309 20971689 1 build/SBLive/0810/5.wav
DUPTYPE_FIRST_OCCURRENCE 7926 2 120 66309 18748871 1 build/SBLive/0200/13.wav
DUPTYPE_WITHIN_SAME_TREE -7926 2 120 66309 18748874 1 build/SBLive/0200/16.wav
DUPTYPE_FIRST_OCCURRENCE 8320 2 150 66309 20847085 1 build/SBLive/0620/12.wav
DUPTYPE_WITHIN_SAME_TREE -8320 2 150 66309 20971688 1 build/SBLive/0810/4.wav
DUPTYPE_FIRST_OCCURRENCE 9175 2 182 66309 19403728 1 build/SoundBlasterOld/0380/2.wav
DUPTYPE_WITHIN_SAME_TREE -9175 2 182 66309 20971833 1 build/SoundBlasterOld/0831/0.wav
DUPTYPE_WITHIN_SAME_TREE -9175 2 182 66309 20972086 1 build/SoundBlasterOld/0861/0.wav
DUPTYPE_WITHIN_SAME_TREE -9175 2 182 66309 20971701 1 build/SoundBlasterOld/0811/0.wav
DUPTYPE_WITHIN_SAME_TREE -9175 2 182 66309 20972128 1 build/SoundBlasterOld/0870/2.wav
DUPTYPE_WITHIN_SAME_TREE -9175 2 182 66309 20972409 1 build/SoundBlasterOld/0901/0.wav
DUPTYPE_FIRST_OCCURRENCE 9053 2 182 66309 18098439 1 build/SoundBlasterOld/0040/0.wav
DUPTYPE_WITHIN_SAME_TREE -9053 2 182 66309 18098440 1 build/SoundBlasterOld/0040/1.wav
DUPTYPE_WITHIN_SAME_TREE -9053 2 182 66309 18098441 1 build/SoundBlasterOld/0040/2.wav
DUPTYPE_WITHIN_SAME_TREE -9053 2 182 66309 20974081 1 build/SoundBlasterOld/1120/0.wav
DUPTYPE_FIRST_OCCURRENCE 9073 2 188 66309 18225243 1 build/SoundBlasterOld/0090/0.wav
DUPTYPE_WITHIN_SAME_TREE -9073 2 188 66309 18225244 1 build/SoundBlasterOld/0090/1.wav
DUPTYPE_FIRST_OCCURRENCE 7910 2 212 66309 18748751 1 build/SBLive/0190/1.wav
DUPTYPE_WITHIN_SAME_TREE -7910 2 212 66309 18748755 1 build/SBLive/0190/5.wav
DUPTYPE_WITHIN_SAME_TREE -7910 2 212 66309 18748753 1 build/SBLive/0190/3.wav
DUPTYPE_WITHIN_SAME_TREE -7910 2 212 66309 18748757 1 build/SBLive/0190/7.wav
DUPTYPE_FIRST_OCCURRENCE 8318 2 234 66309 20847083 1 build/SBLive/0620/10.wav
DUPTYPE_WITHIN_SAME_TREE -8318 2 234 66309 20847081 1 build/SBLive/0620/8.wav
DUPTYPE_WITHIN_SAME_TREE -8318 2 234 66309 20971687 1 build/SBLive/0810/3.wav
DUPTYPE_FIRST_OCCURRENCE 9136 2 280 66309 19009483 1 build/SoundBlasterOld/0261/0.wav
DUPTYPE_WITHIN_SAME_TREE -9136 2 280 66309 19140529 1 build/SoundBlasterOld/0291/0.wav
DUPTYPE_FIRST_OCCURRENCE 8126 2 288 66309 19403723 1 build/SBLive/0380/7.wav
DUPTYPE_WITHIN_SAME_TREE -8126 2 288 66309 20972123 1 build/SBLive/0870/5.wav
DUPTYPE_FIRST_OCCURRENCE 9161 2 292 66309 19272405 1 build/SoundBlasterOld/0340/0.wav
DUPTYPE_WITHIN_SAME_TREE -9161 2 292 66309 19403873 1 build/SoundBlasterOld/0391/0.wav
DUPTYPE_FIRST_OCCURRENCE 8091 2 294 66309 19272080 1 build/SBLive/0330/4.wav
DUPTYPE_WITHIN_SAME_TREE -8091 2 294 66309 19403859 1 build/SBLive/0390/18.wav
DUPTYPE_FIRST_OCCURRENCE 8806 2 312 66309 20973794 1 build/SBLive/1090/3.wav
DUPTYPE_WITHIN_SAME_TREE -8806 2 312 66309 20973796 1 build/SBLive/1090/5.wav
DUPTYPE_FIRST_OCCURRENCE 9118 2 322 66309 18749018 1 build/SoundBlasterOld/0211/0.wav
DUPTYPE_WITHIN_SAME_TREE -9118 2 322 66309 18879975 1 build/SoundBlasterOld/0231/0.wav
DUPTYPE_FIRST_OCCURRENCE 9384 2 322 66309 20972553 1 build/SoundBlasterOld/0921/0.wav
DUPTYPE_WITHIN_SAME_TREE -9384 2 322 66309 20972636 1 build/SoundBlasterOld/0931/3.wav
DUPTYPE_FIRST_OCCURRENCE 9080 2 322 66309 18354365 1 build/SoundBlasterOld/0101/0.wav
DUPTYPE_WITHIN_SAME_TREE -9080 2 322 66309 18619197 1 build/SoundBlasterOld/0161/0.wav
DUPTYPE_WITHIN_SAME_TREE -9080 2 322 66309 18748763 1 build/SoundBlasterOld/0190/0.wav
DUPTYPE_WITHIN_SAME_TREE -9080 2 322 66309 18748880 1 build/SoundBlasterOld/0200/1.wav
DUPTYPE_WITHIN_SAME_TREE -9080 2 322 66309 18354366 1 build/SoundBlasterOld/0101/1.wav
DUPTYPE_FIRST_OCCURRENCE 9059 2 322 66309 18098474 1 build/SoundBlasterOld/0041/1.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 20974105 1 build/SoundBlasterOld/1131/0.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 20974462 1 build/SoundBlasterOld/1230/0.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 20974463 1 build/SoundBlasterOld/1230/1.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 20974465 1 build/SoundBlasterOld/1230/3.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 20973743 1 build/SoundBlasterOld/1080/0.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 20974306 1 build/SoundBlasterOld/1181/0.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 18354357 1 build/SoundBlasterOld/0100/0.wav
DUPTYPE_WITHIN_SAME_TREE -9059 2 322 66309 18354358 1 build/SoundBlasterOld/0100/1.wav
DUPTYPE_FIRST_OCCURRENCE 8080 2 322 66309 19140825 1 build/SBLive/0310/6.wav
DUPTYPE_WITHIN_SAME_TREE -8080 2 322 66309 19272401 1 build/SBLive/0340/7.wav
DUPTYPE_WITHIN_SAME_TREE -8080 2 322 66309 19272402 1 build/SBLive/0340/8.wav
DUPTYPE_WITHIN_SAME_TREE -8080 2 322 66309 19272403 1 build/SBLive/0340/9.wav
DUPTYPE_FIRST_OCCURRENCE 9092 2 322 66309 18619188 1 build/SoundBlasterOld/0160/0.wav
DUPTYPE_WITHIN_SAME_TREE -9092 2 322 66309 18748907 1 build/SoundBlasterOld/0201/0.wav
DUPTYPE_FIRST_OCCURRENCE 8329 2 402 66309 20847078 1 build/SBLive/0620/5.wav
DUPTYPE_WITHIN_SAME_TREE -8329 2 402 66309 20971686 1 build/SBLive/0810/2.wav
DUPTYPE_WITHIN_SAME_TREE -8329 2 402 66309 20847080 1 build/SBLive/0620/7.wav
DUPTYPE_FIRST_OCCURRENCE 7820 2 466 66309 18225136 1 build/SBLive/0070/14.wav
DUPTYPE_WITHIN_SAME_TREE -7820 2 466 66309 19009589 1 build/SBLive/0280/7.wav
DUPTYPE_WITHIN_SAME_TREE -7820 2 466 66309 18225137 1 build/SBLive/0070/15.wav
DUPTYPE_WITHIN_SAME_TREE -7820 2 466 66309 20971901 1 build/SBLive/0840/20.wav
DUPTYPE_FIRST_OCCURRENCE 8044 2 492 66309 19009768 1 build/SBLive/0290/12.wav
DUPTYPE_WITHIN_SAME_TREE -8044 2 492 66309 19009769 1 build/SBLive/0290/13.wav
DUPTYPE_WITHIN_SAME_TREE -8044 2 492 66309 19140626 1 build/SBLive/0300/17.wav
DUPTYPE_WITHIN_SAME_TREE -8044 2 492 66309 19140624 1 build/SBLive/0300/15.wav
DUPTYPE_FIRST_OCCURRENCE 8735 2 576 66309 20973240 1 build/SBLive/1010/9.wav
DUPTYPE_WITHIN_SAME_TREE -8735 2 576 66309 20973537 1 build/SBLive/1040/7.wav
DUPTYPE_FIRST_OCCURRENCE 8043 2 592 66309 19009767 1 build/SBLive/0290/11.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 19140625 1 build/SBLive/0300/16.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 20971904 1 build/SBLive/0840/23.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 19140627 1 build/SBLive/0300/18.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 20971902 1 build/SBLive/0840/21.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 19009770 1 build/SBLive/0290/14.wav
DUPTYPE_FIRST_OCCURRENCE 9058 2 610 66309 18098473 1 build/SoundBlasterOld/0041/0.wav
DUPTYPE_WITHIN_SAME_TREE -9058 2 610 66309 20972613 1 build/SoundBlasterOld/0930/1.wav
DUPTYPE_WITHIN_SAME_TREE -9058 2 610 66309 20972532 1 build/SoundBlasterOld/0920/0.wav
DUPTYPE_FIRST_OCCURRENCE 8783 2 672 66309 20973588 1 build/SBLive/1050/7.wav
DUPTYPE_WITHIN_SAME_TREE -8783 2 672 66309 20973638 1 build/SBLive/1060/6.wav
DUPTYPE_FIRST_OCCURRENCE 8127 2 674 66309 19403724 1 build/SBLive/0380/8.wav
DUPTYPE_WITHIN_SAME_TREE -8127 2 674 66309 20847090 1 build/SBLive/0620/17.wav
DUPTYPE_WITHIN_SAME_TREE -8127 2 674 66309 20972124 1 build/SBLive/0870/6.wav
DUPTYPE_WITHIN_SAME_TREE -8127 2 674 66309 20971690 1 build/SBLive/0810/6.wav
DUPTYPE_FIRST_OCCURRENCE 8171 2 714 66309 19534535 1 build/SBLive/0420/5.wav
DUPTYPE_WITHIN_SAME_TREE -8171 2 714 66309 19534631 1 build/SBLive/0430/4.wav
DUPTYPE_FIRST_OCCURRENCE 8327 2 740 66309 20847076 1 build/SBLive/0620/3.wav
